         162598121 function calls (162250956 primitive calls) in 223.822 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    0.001    0.000    1.427    0.024 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:4475(drop)
  1291253    1.057    0.000    1.373    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geomath.py:85(norm)
   680996    0.455    0.000    1.355    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/common.py:162(is_object_dtype)
     1062    1.355    0.001    1.355    0.001 {method 'copy' of 'numpy.ndarray' objects}
     9456    0.107    0.000    1.344    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/worksheet/_reader.py:113(parse)
966752/966750    0.151    0.000    1.331    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:1224(iterator)
9207110/9201315    1.062    0.000    1.329    0.000 {built-in method builtins.isinstance}
   317666    0.188    0.000    1.296    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geopy/point.py:474(from_point)
       24    0.000    0.000    1.255    0.052 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:3267(cat_core)
   158833    0.723    0.000    1.238    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:322(_A3coeff)
      487    1.235    0.003    1.235    0.003 {pandas._libs.algos.take_2d_axis0_object_object}
   794165    0.266    0.000    1.221    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geomath.py:146(AngNormalize)
      181    0.000    0.000    1.189    0.007 <__array_function__ internals>:177(vstack)
      181    0.001    0.000    1.188    0.007 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/numpy/core/shape_base.py:222(vstack)
   158833    0.229    0.000    1.081    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geomath.py:159(AngDiff)
673744/673263    0.372    0.000    1.075    0.000 {built-in method builtins.all}
     2608    1.059    0.000    1.059    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.071    0.071    1.051    1.051 enrichissement.py:751(reorganisation)
       17    0.000    0.000    1.037    0.061 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:5443(rename)
       17    0.000    0.000    1.037    0.061 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:1043(_rename)
   170604    0.379    0.000    1.029    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/apply.py:998(series_generator)
 23577158    1.013    0.000    1.013    0.000 {method 'zfill' of 'str' objects}
      114    0.001    0.000    0.996    0.009 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
       24    0.000    0.000    0.995    0.041 <__array_function__ internals>:177(sum)
       24    0.000    0.000    0.995    0.041 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2162(sum)
       78    0.004    0.000    0.966    0.012 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:764(_slice_take_blocks_ax0)
   794165    0.553    0.000    0.955    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geomath.py:135(remainder)
       10    0.000    0.000    0.949    0.095 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/series.py:4661(apply)
       10    0.004    0.000    0.948    0.095 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/apply.py:1090(apply)
